t,E,N,Q,C,iN,dP,P,blocked,dynamic_threshold,ethic_memory,novelty_pressure,P_ETOmega,dETOmega
1,1.2307944701032298,0.4012614652803027,0.615399705488244,0.017587959497256573,0.13862943611198905,2.126414164257044,2.126414164257044,0,1.0,0.0,0.8935812296708979,1.2247964088649677,1.2247964088649677
2,1.2735636042230976,0.15783360869685928,0.5928867100313143,0.4818483573905376,0.1388293361786058,2.3673029441632027,4.493717108420247,0,1.0,0.0,0.6321429767219108,2.3341241109732542,1.1093277021082866
3,1.2707589770767729,0.1504456580080003,1.2651193126391342,0.42968119283080597,0.30157054396502986,2.8144345965896833,7.30815170500993,0,1.0,0.0,1.1625411081193078,3.481792188258247,1.147668077284993
4,1.2885509623470113,0.17796775662584804,0.5903941833878443,0.514792654240863,0.13922973511274037,2.432475821488826,9.740627526498756,0,1.0,0.0,0.6502831033361235,4.559576034854736,1.077783846596489
5,1.237089593475714,0.1100866521800408,0.8582521532543642,0.4436840139687955,0.13943023397866466,2.50968217890025,12.250309705399005,0,1.0,0.0,0.7966883747835322,5.692850738540836,1.1332747036860993
6,1.315504067525681,0.10843721286881575,0.5856478575333308,0.4578852876520896,0.13963093244210056,2.3278434931378165,14.578153198536821,0,1.0,0.0,0.5769554988954804,6.772237323984917,1.0793865854440812
7,1.3200733382356233,0.11015245036755197,0.4687720625520908,0.43880623546840875,0.1398318305012553,2.1979722561224193,16.77612545465924,0,1.0,0.0,0.4851701004092246,7.925535913875749,1.1532985898908328
8,1.3068703647565558,0.10443413270550037,0.44487693373665493,0.4421375209255265,0.14003292815393772,2.1582860239702994,18.93441147862954,0,1.0,0.0,0.46033567969482436,8.937905285391276,1.012369371515526
9,1.2894516823903923,0.11495713437597452,0.5794724014934093,0.4098783312368733,0.1402342253975584,2.2535253240990913,21.18793680272863,0,1.0,0.0,0.578535055570702,10.03806135548885,1.1001560700975748
10,1.3250832057218425,0.2587255842562352,0.7911168645334081,0.39976099329181086,0.14043572222912945,2.6342509255741673,23.822187728302797,0,1.0,0.0,0.8916190758829619,11.368221267875,1.3301599123861503
11,1.3194301531941104,0.06758701039334834,1.1597638543016306,0.5031299942267153,0.1406374186452648,2.90927359347054,26.731461321773338,0,1.0,0.0,0.9953980938346529,12.894513662415527,1.5262923945405262
12,1.3453386224868011,0.08692572344809915,0.663494983417405,0.4819986145031019,0.14083931464218005,2.436918629213227,29.168379950986566,0,1.0,0.0,0.6177217101820232,13.827246820552253,0.9327331581367257
13,1.345818553301652,0.1946219561772986,1.2551558083562453,0.4596344196683856,0.33978801307798745,2.9154427244255943,32.08382267541216,0,1.0,0.0,1.1987466028622948,15.241865573982926,1.4146187534306738
14,1.3450479636201882,0.09295506910658267,0.9026978660428413,0.5477211262063191,0.14124370536122163,2.7471783196147093,34.83100099502687,0,1.0,0.0,0.8151133619408558,16.765069387217384,1.5232038132344572
15,1.3371851632778111,0.20490386092311977,0.9844987091975524,0.4646742450143281,0.14144620007378803,2.8498157783390234,37.68081677336589,0,1.0,0.0,0.9925028282811618,18.599538496229677,1.834469109012294
16,1.325168387489151,0.1660259417738095,0.8143760777385454,0.5076102266613244,0.14164889434801473,2.6715317393148155,40.352348512680706,0,1.0,0.0,0.8175268039646458,20.059519659661685,1.459981163432009
17,1.327104139027069,0.10672155926911486,0.638797721612306,0.47150547844806023,0.14185178817812646,2.402277110178424,42.75462562285913,0,1.0,0.0,0.6177597365589597,21.365021752937057,1.3055020932753734
18,1.3610536683372902,0.134016672375056,1.585123461555693,0.42649199949631444,0.5441703231775604,2.962515478586793,45.717141101445925,0,1.0,0.0,1.4021154416196104,22.58465992940567,1.2196381764686146
19,1.3321052006218317,0.09202529267457303,0.33075423989054187,0.6144929601131142,0.14225817448091388,2.2271195188191473,47.94426062026507,0,1.0,0.0,0.35662868458700653,23.994280980467273,1.409621051061602
20,1.4077608715136887,0.45560600760535147,0.9874755540997319,0.38985378188581693,0.3880481178251861,2.852648097279403,50.796908717544476,0,1.0,0.0,1.245586450885137,25.685172008528383,1.6908910280611087
21,1.3441950445007498,0.10911346613123207,0.642625832071188,0.5748450033713696,0.1426653589279883,2.528113987146551,53.32502270469103,0,1.0,0.0,0.6232141317881824,27.219598295312277,1.5344262867838934
22,1.411875348977988,0.2491817440918017,0.7152405547616563,0.45274376343118117,0.1428692504369667,2.6861721608256603,56.01119486551669,0,1.0,0.0,0.8213741879011267,28.59002573360766,1.3704274382953838
23,1.3543539766675026,0.12542257522508926,0.8462614363445158,0.5105892224063965,0.14307334145882153,2.6935538691846825,58.704748734701376,0,1.0,0.0,0.802431724300702,30.368425465465545,1.7783997318578844
